"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
3013,"Aachen","https://2019.igem.org/Team:Aachen","europe","DEU","Environment","collegiate","overgrad","accepted",false,2019
3016,"Aalto-Helsinki","https://2019.igem.org/Team:Aalto-Helsinki","europe","FIN","Manufacturing","collegiate","overgrad","accepted",false,2019
2941,"Aboa","https://2019.igem.org/Team:Aboa","europe","FIN","Diagnostics","collegiate","overgrad","accepted",false,2019
3272,"ACIBADEM_ISTANBUL","https://2019.igem.org/Team:ACIBADEM_ISTANBUL","asia","TUR","High School","high-school","high-school","accepted",false,2019
3244,"AFCM-Egypt","https://2019.igem.org/Team:AFCM-Egypt","africa","EGY","Therapeutics","collegiate","undergrad","accepted",false,2019
2949,"AHUT_China","https://2019.igem.org/Team:AHUT_China","asia","CHN","Environment","collegiate","undergrad","accepted",false,2019
2915,"Aix-Marseille","https://2019.igem.org/Team:Aix-Marseille","europe","FRA","Diagnostics","collegiate","overgrad","accepted",false,2019
3085,"Alabama","https://2019.igem.org/Team:Alabama","north-america","USA","Therapeutics","collegiate","undergrad","accepted",false,2019
2905,"Alma","https://2019.igem.org/Team:Alma","north-america","USA","Therapeutics","collegiate","undergrad","accepted",false,2019
3320,"Amazonas-Brazil","https://2019.igem.org/Team:Amazonas-Brazil","latin-america","BRA","Therapeutics","collegiate","undergrad","accepted",false,2019
2928,"ASIJ_Tokyo","https://2019.igem.org/Team:ASIJ_Tokyo","asia","JPN","High School","high-school","high-school","accepted",false,2019
3152,"ASTWS-China","https://2019.igem.org/Team:ASTWS-China","asia","CHN","High School","high-school","high-school","accepted",false,2019
3201,"Athens","https://2019.igem.org/Team:Athens","europe","GRC","New Application","collegiate","undergrad","accepted",false,2019
2975,"Auburn_Alabama","https://2019.igem.org/Team:Auburn_Alabama","north-america","USA","High School","high-school","high-school","accepted",false,2019
3174,"Austin_UTexas","https://2019.igem.org/Team:Austin_UTexas","north-america","USA","Foundational Advance","collegiate","undergrad","accepted",false,2019
3301,"Baltimore_BioCrew","https://2019.igem.org/Team:Baltimore_BioCrew","north-america","USA","High School","high-school","high-school","accepted",false,2019
3143,"BEAS_China","https://2019.igem.org/Team:BEAS_China","asia","CHN","High School","high-school","high-school","accepted",false,2019
2938,"BGU_Israel","https://2019.igem.org/Team:BGU_Israel","asia","ISR","New Application","collegiate","overgrad","accepted",false,2019
3202,"BHSF_ND","https://2019.igem.org/Team:BHSF_ND","asia","CHN","High School","high-school","high-school","accepted",false,2019
2926,"Bielefeld-CeBiTec","https://2019.igem.org/Team:Bielefeld-CeBiTec","europe","DEU","Foundational Advance","collegiate","overgrad","accepted",false,2019
3003,"Bilkent-UNAMBG","https://2019.igem.org/Team:Bilkent-UNAMBG","asia","TUR","Therapeutics","collegiate","undergrad","accepted",false,2019
3000,"Bioriidl_Somaiya","https://2019.igem.org/Team:Bioriidl_Somaiya","asia","IND","Foundational Advance","community-lab","collegiate","accepted",false,2019
3277,"Bio_Without_Borders","https://2019.igem.org/Team:Bio_Without_Borders","north-america","USA","High School","high-school","high-school","accepted",false,2019
3020,"BIT","https://2019.igem.org/Team:BIT","asia","CHN","Environment","collegiate","undergrad","accepted",false,2019
2972,"BIT-China","https://2019.igem.org/Team:BIT-China","asia","CHN","New Application","collegiate","undergrad","accepted",false,2019
3120,"BM-AMU","https://2019.igem.org/Team:BM-AMU","asia","CHN","Foundational Advance","collegiate","undergrad","accepted",false,2019
2950,"BNDS_China","https://2019.igem.org/Team:BNDS_China","asia","CHN","High School","high-school","high-school","accepted",false,2019
3036,"BNU-China","https://2019.igem.org/Team:BNU-China","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2019
3015,"BOKU-Vienna","https://2019.igem.org/Team:BOKU-Vienna","europe","AUT","Diagnostics","collegiate","overgrad","accepted",false,2019
2954,"Bonn","https://2019.igem.org/Team:Bonn","europe","DEU","Energy","collegiate","undergrad","accepted",false,2019
3226,"Botchan_Lab_Tokyo","https://2019.igem.org/Team:Botchan_Lab_Tokyo","asia","JPN","Environment","collegiate","undergrad","accepted",false,2019
3175,"British_Columbia","https://2019.igem.org/Team:British_Columbia","north-america","CAN","Food & Nutrition","collegiate","undergrad","accepted",false,2019
3236,"BrockU","https://2019.igem.org/Team:BrockU","north-america","CAN","New Application","collegiate","undergrad","accepted",false,2019
