"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
3774,"Aachen","https://2021.igem.org/Team:Aachen","europe","DEU","Foundational Advance","collegiate","overgrad","accepted",false,2021
3793,"Aalto-Helsinki","https://2021.igem.org/Team:Aalto-Helsinki","europe","FIN","New Application","collegiate","overgrad","accepted",false,2021
3872,"Aboa","https://2021.igem.org/Team:Aboa","europe","FIN","Environment","collegiate","overgrad","accepted",false,2021
4068,"ABSI_Kenya","https://2021.igem.org/Team:ABSI_Kenya","africa","KEN","Environment","community-lab","collegiate","accepted",false,2021
4089,"ACIBADEM_ISTANBUL","https://2021.igem.org/Team:ACIBADEM_ISTANBUL","asia","TUR","High School","high-school","high-school","accepted",false,2021
3743,"AFCM-Egypt","https://2021.igem.org/Team:AFCM-Egypt","africa","EGY","Therapeutics","collegiate","undergrad","accepted",false,2021
3981,"AHUT_China","https://2021.igem.org/Team:AHUT_China","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2021
4012,"AISSU_Union","https://2021.igem.org/Team:AISSU_Union","asia","CHN","High School","commercial","high-school","accepted",false,2021
3788,"Aix-Marseille","https://2021.igem.org/Team:Aix-Marseille","europe","FRA","Environment","collegiate","overgrad","accepted",false,2021
3737,"Alma","https://2021.igem.org/Team:Alma","north-america","USA","Environment","collegiate","overgrad","accepted",false,2021
3813,"ASIJ_Tokyo","https://2021.igem.org/Team:ASIJ_Tokyo","asia","JPN","High School","high-school","high-school","accepted",false,2021
3906,"ASTWS-China","https://2021.igem.org/Team:ASTWS-China","asia","CHN","High School","commercial","high-school","accepted",false,2021
4006,"ASU","https://2021.igem.org/Team:ASU","north-america","USA","Environment","collegiate","undergrad","accepted",false,2021
4034,"Athens","https://2021.igem.org/Team:Athens","europe","GRC","New Application","collegiate","overgrad","accepted",false,2021
3879,"Austin_UTexas","https://2021.igem.org/Team:Austin_UTexas","north-america","USA","Environment","collegiate","undergrad","accepted",false,2021
3851,"Baltimore_BioCrew","https://2021.igem.org/Team:Baltimore_BioCrew","north-america","USA","High School","high-school","high-school","accepted",false,2021
3996,"Beijing_United","https://2021.igem.org/Team:Beijing_United","asia","CHN","High School","commercial","high-school","accepted",false,2021
4033,"BHSF","https://2021.igem.org/Team:BHSF","asia","CHN","High School","commercial","high-school","accepted",false,2021
3900,"Bielefeld-CeBiTec","https://2021.igem.org/Team:Bielefeld-CeBiTec","europe","DEU","New Application","collegiate","overgrad","accepted",false,2021
4021,"Bilkent_UNAM","https://2021.igem.org/Team:Bilkent_UNAM","asia","TUR",,"collegiate","undergrad","withdrawn",false,2021
3821,"BIT","https://2021.igem.org/Team:BIT","asia","CHN","Diagnostics","collegiate","undergrad","accepted",false,2021
3852,"BIT-China","https://2021.igem.org/Team:BIT-China","asia","CHN","Food & Nutrition","collegiate","undergrad","accepted",false,2021
3874,"BJ101ID","https://2021.igem.org/Team:BJ101ID","asia","CHN","High School","commercial","high-school","accepted",false,2021
3759,"BJEA_China","https://2021.igem.org/Team:BJEA_China","asia","CHN","High School","high-school","high-school","accepted",false,2021
3887,"BJU_China","https://2021.igem.org/Team:BJU_China","asia","CHN","High School","commercial","high-school","accepted",false,2021
3745,"BNDS_China","https://2021.igem.org/Team:BNDS_China","asia","CHN","High School","high-school","high-school","accepted",false,2021
3805,"BNU-China","https://2021.igem.org/Team:BNU-China","asia","CHN","Manufacturing","collegiate","overgrad","accepted",false,2021
3784,"BNUZ-China","https://2021.igem.org/Team:BNUZ-China","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2021
3855,"BOKU-Vienna","https://2021.igem.org/Team:BOKU-Vienna","europe","AUT","Therapeutics","collegiate","overgrad","accepted",false,2021
4007,"Bolivia","https://2021.igem.org/Team:Bolivia","latin-america","BOL","Environment","collegiate","undergrad","accepted",false,2021
4102,"Bonn-Rheinbach","https://2021.igem.org/Team:Bonn-Rheinbach","europe","DEU","New Application","collegiate","undergrad","accepted",false,2021
3827,"British_Columbia","https://2021.igem.org/Team:British_Columbia","north-america","CAN","Diagnostics","collegiate","undergrad","accepted",false,2021
3831,"Brno_Czech_Republic","https://2021.igem.org/Team:Brno_Czech_Republic","europe","CZE","Environment","collegiate","overgrad","accepted",false,2021
3882,"BS_United_China","https://2021.igem.org/Team:BS_United_China","asia","CHN","High School","high-school","high-school","accepted",false,2021
3875,"BUCT","https://2021.igem.org/Team:BUCT","asia","CHN","Therapeutics","collegiate","undergrad","accepted",false,2021
3742,"BUCT-China","https://2021.igem.org/Team:BUCT-China","asia","CHN","Food & Nutrition","collegiate","undergrad","accepted",false,2021
3764,"Bulgaria","https://2021.igem.org/Team:Bulgaria","europe","BGR","Environment","collegiate","undergrad","accepted",false,2021
3945,"Calgary","https://2021.igem.org/Team:Calgary","north-america","CAN","Environment","collegiate","undergrad","accepted",false,2021
