"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
1196,"AHUT_China","https://2013.igem.org/Team:AHUT_China","asia","CHN","Environment","collegiate","overgrad","accepted",false,2013
1098,"AITM-Nepal","https://2013.igem.org/Team:AITM-Nepal","asia","NPL","Health & Medicine","collegiate","overgrad","accepted",false,2013
1161,"Alberta","https://2013.igem.org/Team:Alberta","north-america","CAN","Information Processing","collegiate","undergrad","accepted",false,2013
1200,"AMU-Poznan","https://2013.igem.org/Team:AMU-Poznan","europe","POL","Software Tools","collegiate","overgrad","accepted",false,2013
996,"AnatoliaGreece","https://2013.igem.org/Team:AnatoliaGreece","europe","GRC",,"high-school","high-school","accepted",false,2013
1190,"Arizona_State","https://2013.igem.org/Team:Arizona_State","north-america","USA","Health & Medicine","collegiate","undergrad","accepted",false,2013
1202,"ATOMS-Turkiye","https://2013.igem.org/Team:ATOMS-Turkiye","asia","TUR","Health & Medicine","collegiate","undergrad","accepted",false,2013
993,"AUC_TURKEY","https://2013.igem.org/Team:AUC_TURKEY","asia","TUR",,"high-school","high-school","accepted",false,2013
1109,"Baskent_Meds","https://2013.igem.org/Team:Baskent_Meds","asia","TUR","Health & Medicine","collegiate","overgrad","accepted",false,2013
984,"Beijing_BHSF","https://2013.igem.org/Team:Beijing_BHSF","asia","CHN",,"high-school","high-school","accepted",false,2013
994,"Beijing_HDFLS_High","https://2013.igem.org/Team:Beijing_HDFLS_High","asia","CHN",,"high-school","high-school","accepted",false,2013
1131,"Berkeley","https://2013.igem.org/Team:Berkeley","north-america","USA","Manufacturing","collegiate","undergrad","accepted",false,2013
1223,"BGU_Israel","https://2013.igem.org/Team:BGU_Israel","asia","ISR","Environment","collegiate","overgrad","accepted",false,2013
1172,"Bielefeld-Germany","https://2013.igem.org/Team:Bielefeld-Germany","europe","DEU","Food & Energy","collegiate","overgrad","accepted",false,2013
978,"BioscienceDragons_AZ","https://2013.igem.org/Team:BioscienceDragons_AZ","north-america","USA",,"high-school","high-school","accepted",false,2013
1130,"BIOSINT_Mexico","https://2013.igem.org/Team:BIOSINT_Mexico","latin-america","MEX","Health & Medicine","collegiate","overgrad","accepted",false,2013
1058,"BIT","https://2013.igem.org/Team:BIT","asia","CHN","Food & Energy","collegiate","undergrad","accepted",false,2013
1117,"BIT-China","https://2013.igem.org/Team:BIT-China","asia","CHN","New Application","collegiate","undergrad","accepted",false,2013
1044,"Biwako_Nagahama","https://2013.igem.org/Team:Biwako_Nagahama","asia","JPN","Environment","collegiate","undergrad","accepted",false,2013
999,"BJHS_Madison_AL","https://2013.igem.org/Team:BJHS_Madison_AL","north-america","USA",,"high-school","high-school","accepted",false,2013
1075,"Bonn","https://2013.igem.org/Team:Bonn","europe","DEU","Foundational Advance","collegiate","overgrad","accepted",false,2013
1148,"Bordeaux","https://2013.igem.org/Team:Bordeaux","europe","FRA","Food & Energy","collegiate","overgrad","accepted",false,2013
1114,"BostonU","https://2013.igem.org/Team:BostonU","north-america","USA","Foundational Advance","collegiate","undergrad","accepted",false,2013
1073,"Braunschweig","https://2013.igem.org/Team:Braunschweig","europe","DEU","New Application","collegiate","overgrad","accepted",false,2013
1129,"British_Columbia","https://2013.igem.org/Team:British_Columbia","north-america","CAN","Food & Energy","collegiate","undergrad","accepted",false,2013
1106,"Buenos_Aires","https://2013.igem.org/Team:Buenos_Aires","latin-america","ARG","Environment","collegiate","overgrad","accepted",false,2013
977,"BV_CAPS_Kansas","https://2013.igem.org/Team:BV_CAPS_Kansas","north-america","USA",,"high-school","high-school","accepted",false,2013
1195,"BYU_Provo","https://2013.igem.org/Team:BYU_Provo","north-america","USA","Foundational Advance","collegiate","overgrad","accepted",false,2013
1189,"Calgary","https://2013.igem.org/Team:Calgary","north-america","CAN","Food & Energy","collegiate","undergrad","accepted",false,2013
1236,"Calgary_Entrepreneurial","https://2013.igem.org/Team:Calgary_Entrepreneurial","north-america","CAN","Entrepreneurship","collegiate","overgrad","accepted",false,2013
1184,"Carnegie_Mellon","https://2013.igem.org/Team:Carnegie_Mellon","north-america","USA","Health & Medicine","collegiate","undergrad","accepted",false,2013
1097,"CAU_China","https://2013.igem.org/Team:CAU_China","asia","CHN","Food & Energy","collegiate","undergrad","accepted",false,2013
1215,"CBNU-Korea","https://2013.igem.org/Team:CBNU-Korea","asia","KOR","Software Tools","collegiate","overgrad","withdrawn",false,2013
1057,"Chiba","https://2013.igem.org/Team:Chiba","asia","JPN","New Application","collegiate","undergrad","accepted",false,2013
987,"CIDEB-UANL_Mexico","https://2013.igem.org/Team:CIDEB-UANL_Mexico","north-america","USA",,"high-school","high-school","accepted",false,2013
1230,"Ciencias-UNAM","https://2013.igem.org/Team:Ciencias-UNAM","latin-america","MEX","Health & Medicine","collegiate","undergrad","accepted",false,2013
1090,"Clemson","https://2013.igem.org/Team:Clemson","north-america","USA","Environment","collegiate","overgrad","accepted",false,2013
