"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
2020,"Aachen","https://2016.igem.org/Team:Aachen","europe","DEU","New Application","collegiate","overgrad","accepted",false,2016
1907,"Aalto-Helsinki","https://2016.igem.org/Team:Aalto-Helsinki","europe","FIN","Environment","collegiate","overgrad","accepted",false,2016
2044,"AHUT_China","https://2016.igem.org/Team:AHUT_China","asia","CHN","Information Processing","collegiate","overgrad","accepted",false,2016
1917,"Ain_Shams-Egypt","https://2016.igem.org/Team:Ain_Shams-Egypt","africa","EGY","Therapeutics","collegiate","undergrad","accepted",false,2016
1951,"Aix-Marseille","https://2016.igem.org/Team:Aix-Marseille","europe","FRA","Environment","collegiate","overgrad","accepted",false,2016
2145,"Alverno_CA","https://2016.igem.org/Team:Alverno_CA","north-america","USA","High School","high-school","high-school","accepted",false,2016
2033,"Arizona_State","https://2016.igem.org/Team:Arizona_State","north-america","USA","Foundational Advance","collegiate","overgrad","accepted",false,2016
1885,"ASIJ_Tokyo","https://2016.igem.org/Team:ASIJ_Tokyo","asia","JPN","High School","high-school","high-school","accepted",false,2016
2058,"ATOMS_Turkiye","https://2016.igem.org/Team:ATOMS_Turkiye","asia","TUR",,"collegiate","undergrad","withdrawn",false,2016
2059,"AUC_TURKEY","https://2016.igem.org/Team:AUC_TURKEY","asia","TUR","High School","high-school","high-school","withdrawn",false,2016
2097,"Austin_UTexas","https://2016.igem.org/Team:Austin_UTexas","north-america","USA","New Application","collegiate","undergrad","accepted",false,2016
2098,"Austin_UTexas_LASA","https://2016.igem.org/Team:Austin_UTexas_LASA","north-america","USA","High School","high-school","high-school","withdrawn",false,2016
2187,"Baltimore_BioCrew","https://2016.igem.org/Team:Baltimore_BioCrew","north-america","USA","High School","high-school","high-school","accepted",false,2016
2026,"BGIC_China","https://2016.igem.org/Team:BGIC_China","asia","CHN","High School","high-school","high-school","accepted",false,2016
2091,"BGU_ISRAEL","https://2016.igem.org/Team:BGU_ISRAEL","asia","ISR","Environment","collegiate","overgrad","accepted",false,2016
