"id","team","wiki","region","country","track","kind","section","application","isRemote","year"
1319,"Aachen","https://2014.igem.org/Team:Aachen","europe","DEU","Measurement","collegiate","overgrad","accepted",false,2014
1443,"Aalto-Helsinki","https://2014.igem.org/Team:Aalto-Helsinki","europe","FIN","Entrepreneurship","collegiate","undergrad","accepted",false,2014
1352,"Aberdeen_Scotland","https://2014.igem.org/Team:Aberdeen_Scotland","europe","GBR","Health & Medicine","collegiate","overgrad","accepted",false,2014
1261,"Acton-BoxboroughRHS","https://2014.igem.org/Team:Acton-BoxboroughRHS","north-america","USA",,"high-school","high-school","accepted",false,2014
1341,"AHUT_China","https://2014.igem.org/Team:AHUT_China","asia","CHN","Information Processing","collegiate","undergrad","accepted",false,2014
1349,"Aix-Marseille","https://2014.igem.org/Team:Aix-Marseille","europe","FRA","Foundational Advance","collegiate","overgrad","accepted",false,2014
1281,"AMSA_WeColi","https://2014.igem.org/Team:AMSA_WeColi","north-america","USA",,"high-school","high-school","accepted",false,2014
1436,"AMU-Poznan","https://2014.igem.org/Team:AMU-Poznan","europe","POL","Software","collegiate","overgrad","accepted",false,2014
1302,"Anatolia_Greece","https://2014.igem.org/Team:Anatolia_Greece","europe","GRC",,"high-school","high-school","accepted",false,2014
1502,"Arizona_State","https://2014.igem.org/Team:Arizona_State","north-america","USA","Energy","collegiate","undergrad","accepted",false,2014
1543,"ArtCenter_MDP","https://2014.igem.org/Team:ArtCenter_MDP","north-america","USA","Art & Design","collegiate","collegiate","accepted",false,2014
1456,"ATOMS-Turkiye","https://2014.igem.org/Team:ATOMS-Turkiye","asia","TUR","Health & Medicine","collegiate","undergrad","accepted",false,2014
1530,"Auckland_New_Zealand","https://2014.igem.org/Team:Auckland_New_Zealand","asia","NZL","Health & Medicine","collegiate","overgrad","accepted",false,2014
1291,"AUC_TURKEY","https://2014.igem.org/Team:AUC_TURKEY","asia","TUR",,"high-school","high-school","accepted",false,2014
1416,"Austin_Texas","https://2014.igem.org/Team:Austin_Texas","north-america","USA","Measurement","collegiate","overgrad","accepted",false,2014
